
=== Task 2 Baseline (1-way) ===
Trace,Reads,Writes,Hits,Misses,WriteBack,HitRatio,Compulsory,Capacity,Conflict,Coherence
Sequential,349820,150180,0,500000,150034,0.00,512,0,499488,0
Random,349240,150760,15715,484285,149119,3.14,512,0,483773,0
Strided-64,350614,149386,0,500000,149306,0.00,256,0,499744,0
Looping,350178,149822,499998,2,0,100.00,2,0,0,0
Mixed Hi-Loc,349812,150188,121793,378207,117146,24.36,512,0,377695,0
Mixed Lo-Loc,349466,150534,120988,379012,117655,24.20,512,0,378500,0
Write-Heavy,100136,399864,119598,380402,305574,23.92,512,0,379890,0
Read-Heavy,400142,99858,120738,379262,79880,24.15,512,0,378750,0
Seq 4-Proc,349660,150340,0,500000,150179,0.00,512,0,499488,0
Rand 4-Proc,350505,149495,15659,484341,147898,3.13,512,0,483829,0

=== Task 3 (2-way) ===
Trace,Reads,Writes,Hits,Misses,WriteBack,HitRatio,Compulsory,Capacity,Conflict,Coherence
Sequential,349768,150232,0,500000,150076,0.00,512,0,499488,0
Random,349240,150760,15733,484267,149160,3.15,512,0,483755,0
Strided-64,350614,149386,0,500000,149306,0.00,256,0,499744,0
Looping,350178,149822,499998,2,0,100.00,2,0,0,0
Mixed Hi-Loc,349812,150188,126115,373885,113185,25.22,512,0,373373,0
Mixed Lo-Loc,349466,150534,125664,374336,113429,25.13,512,0,373824,0
Write-Heavy,100136,399864,125210,374790,300020,25.04,512,0,374278,0
Read-Heavy,400142,99858,125571,374429,75869,25.11,512,0,373917,0
Seq 4-Proc,349660,150340,0,500000,150179,0.00,512,0,499488,0
Rand 4-Proc,350505,149495,15599,484401,147893,3.12,512,0,483889,0

=== Task 3 (4-way) ===
Trace,Reads,Writes,Hits,Misses,WriteBack,HitRatio,Compulsory,Capacity,Conflict,Coherence
Sequential,349768,150232,0,500000,150076,0.00,512,0,499488,0
Random,349240,150760,15709,484291,149123,3.14,512,0,483779,0
Strided-64,350614,149386,0,500000,149306,0.00,256,0,499744,0
Looping,350178,149822,499998,2,0,100.00,2,0,0,0
Mixed Hi-Loc,349812,150188,126895,373105,112438,25.38,512,0,372593,0
Mixed Lo-Loc,349466,150534,126519,373481,112596,25.30,512,0,372969,0
Write-Heavy,100136,399864,126409,373591,298835,25.28,512,0,373079,0
Read-Heavy,400142,99858,126567,373433,74964,25.31,512,0,372921,0
Seq 4-Proc,349660,150340,0,500000,150179,0.00,512,0,499488,0
Rand 4-Proc,350505,149495,15707,484293,147905,3.14,512,0,483781,0

=== Task 3 (8-way) ===
Trace,Reads,Writes,Hits,Misses,WriteBack,HitRatio,Compulsory,Capacity,Conflict,Coherence
Sequential,349768,150232,0,500000,150076,0.00,512,0,499488,0
Random,349240,150760,15757,484243,149094,3.15,512,0,483731,0
Strided-64,350614,149386,0,500000,149306,0.00,256,0,499744,0
Looping,350178,149822,499998,2,0,100.00,2,0,0,0
Mixed Hi-Loc,349812,150188,126929,373071,112398,25.39,512,0,372559,0
Mixed Lo-Loc,349466,150534,126601,373399,112569,25.32,512,0,372887,0
Write-Heavy,100136,399864,126499,373501,298745,25.30,512,0,372989,0
Read-Heavy,400142,99858,126665,373335,74878,25.33,512,0,372823,0
Seq 4-Proc,349660,150340,0,500000,150179,0.00,512,0,499488,0
Rand 4-Proc,350505,149495,15588,484412,147916,3.12,512,0,483900,0

=== Task 4 (16B) ===
Trace,Reads,Writes,Hits,Misses,WriteBack,HitRatio,Compulsory,Capacity,Conflict,Coherence
Sequential,349768,150232,0,500000,150076,0.00,512,0,499488,0
Random,349240,150760,15715,484285,149119,3.14,512,0,483773,0
Strided-64,350614,149386,0,500000,149306,0.00,256,0,499744,0
Looping,350178,149822,499998,2,0,100.00,2,0,0,0
Mixed Hi-Loc,349812,150188,121793,378207,117146,24.36,512,0,377695,0
Mixed Lo-Loc,349466,150534,120988,379012,117655,24.20,512,0,378500,0
Write-Heavy,100136,399864,119598,380402,305574,23.92,512,0,379890,0
Read-Heavy,400142,99858,120738,379262,79880,24.15,512,0,378750,0
Seq 4-Proc,349660,150340,0,500000,150179,0.00,512,0,499488,0
Rand 4-Proc,350505,149495,15659,484341,147898,3.13,512,0,483829,0

=== Task 4 (32B) ===
Trace,Reads,Writes,Hits,Misses,WriteBack,HitRatio,Compulsory,Capacity,Conflict,Coherence
Sequential,349768,150232,0,500000,150076,0.00,512,0,499488,0
